,Emoji,Unicode,Hex
502,🧏🏽‍♂️,b'\\U0001f9cf\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
503,🧏🏾‍♂️,b'\\U0001f9cf\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
504,🧏🏿‍♂️,b'\\U0001f9cf\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
505,🧏🏻‍♀️,b'\\U0001f9cf\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
506,🧏🏼‍♀️,b'\\U0001f9cf\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
507,🧏🏽‍♀️,b'\\U0001f9cf\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
508,🧏🏾‍♀️,b'\\U0001f9cf\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
509,🧏🏿‍♀️,b'\\U0001f9cf\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8f\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
510,🙇🏻,b'\\U0001f647\\U0001f3fb',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbb'
511,🙇🏼,b'\\U0001f647\\U0001f3fc',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbc'
512,🙇🏽,b'\\U0001f647\\U0001f3fd',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbd'
513,🙇🏾,b'\\U0001f647\\U0001f3fe',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbe'
514,🙇🏿,b'\\U0001f647\\U0001f3ff',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbf'
515,🙇🏻‍♂️,b'\\U0001f647\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
516,🙇🏼‍♂️,b'\\U0001f647\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
517,🙇🏽‍♂️,b'\\U0001f647\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
518,🙇🏾‍♂️,b'\\U0001f647\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
519,🙇🏿‍♂️,b'\\U0001f647\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
520,🙇🏻‍♀️,b'\\U0001f647\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
521,🙇🏼‍♀️,b'\\U0001f647\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
522,🙇🏽‍♀️,b'\\U0001f647\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
523,🙇🏾‍♀️,b'\\U0001f647\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
524,🙇🏿‍♀️,b'\\U0001f647\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x99\x87\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
525,🤦🏻,b'\\U0001f926\\U0001f3fb',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb'
526,🤦🏼,b'\\U0001f926\\U0001f3fc',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc'
527,🤦🏽,b'\\U0001f926\\U0001f3fd',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd'
528,🤦🏾,b'\\U0001f926\\U0001f3fe',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe'
529,🤦🏿,b'\\U0001f926\\U0001f3ff',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbf'
530,🤦🏻‍♂️,b'\\U0001f926\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
531,🤦🏼‍♂️,b'\\U0001f926\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
532,🤦🏽‍♂️,b'\\U0001f926\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
533,🤦🏾‍♂️,b'\\U0001f926\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
534,🤦🏿‍♂️,b'\\U0001f926\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
535,🤦🏻‍♀️,b'\\U0001f926\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
536,🤦🏼‍♀️,b'\\U0001f926\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
537,🤦🏽‍♀️,b'\\U0001f926\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
538,🤦🏾‍♀️,b'\\U0001f926\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
539,🤦🏿‍♀️,b'\\U0001f926\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
540,🤷🏻,b'\\U0001f937\\U0001f3fb',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb'
541,🤷🏼,b'\\U0001f937\\U0001f3fc',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc'
542,🤷🏽,b'\\U0001f937\\U0001f3fd',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd'
543,🤷🏾,b'\\U0001f937\\U0001f3fe',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe'
544,🤷🏿,b'\\U0001f937\\U0001f3ff',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf'
545,🤷🏻‍♂️,b'\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
546,🤷🏼‍♂️,b'\\U0001f937\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
547,🤷🏽‍♂️,b'\\U0001f937\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
548,🤷🏾‍♂️,b'\\U0001f937\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
549,🤷🏿‍♂️,b'\\U0001f937\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
550,🤷🏻‍♀️,b'\\U0001f937\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
551,🤷🏼‍♀️,b'\\U0001f937\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
552,🤷🏽‍♀️,b'\\U0001f937\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
553,🤷🏾‍♀️,b'\\U0001f937\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
554,🤷🏿‍♀️,b'\\U0001f937\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
555,🧑🏻‍⚕️,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2695\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
556,🧑🏼‍⚕️,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2695\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
557,🧑🏽‍⚕️,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2695\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
558,🧑🏾‍⚕️,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2695\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
559,🧑🏿‍⚕️,b'\\U0001f9d1\\U0001f3ff\\u200d\\u2695\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
560,👨🏻‍⚕️,b'\\U0001f468\\U0001f3fb\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
561,👨🏼‍⚕️,b'\\U0001f468\\U0001f3fc\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
562,👨🏽‍⚕️,b'\\U0001f468\\U0001f3fd\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
563,👨🏾‍⚕️,b'\\U0001f468\\U0001f3fe\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
564,👨🏿‍⚕️,b'\\U0001f468\\U0001f3ff\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
565,👩🏻‍⚕️,b'\\U0001f469\\U0001f3fb\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
566,👩🏼‍⚕️,b'\\U0001f469\\U0001f3fc\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
567,👩🏽‍⚕️,b'\\U0001f469\\U0001f3fd\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
568,👩🏾‍⚕️,b'\\U0001f469\\U0001f3fe\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
569,👩🏿‍⚕️,b'\\U0001f469\\U0001f3ff\\u200d\\u2695\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f'
570,🧑🏻‍🎓,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f393',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\x93'
571,🧑🏼‍🎓,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f393',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\x93'
572,🧑🏽‍🎓,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f393',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\x93'
573,🧑🏾‍🎓,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f393',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\x93'
574,🧑🏿‍🎓,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f393',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\x93'
575,👨🏻‍🎓,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f393',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\x93'
576,👨🏼‍🎓,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f393',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\x93'
577,👨🏽‍🎓,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f393',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\x93'
578,👨🏾‍🎓,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f393',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\x93'
579,👨🏿‍🎓,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f393',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\x93'
580,👩🏻‍🎓,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f393',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8e\x93'
581,👩🏼‍🎓,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f393',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8e\x93'
582,👩🏽‍🎓,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f393',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8e\x93'
583,👩🏾‍🎓,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f393',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8e\x93'
584,👩🏿‍🎓,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f393',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8e\x93'
585,🧑🏻‍🏫,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f3eb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xab'
586,🧑🏼‍🏫,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f3eb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xab'
587,🧑🏽‍🏫,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f3eb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xab'
588,🧑🏾‍🏫,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f3eb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xab'
589,🧑🏿‍🏫,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f3eb',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xab'
590,👨🏻‍🏫,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xab'
591,👨🏼‍🏫,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xab'
592,👨🏽‍🏫,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xab'
593,👨🏾‍🏫,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xab'
594,👨🏿‍🏫,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xab'
595,👩🏻‍🏫,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8f\xab'
596,👩🏼‍🏫,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8f\xab'
597,👩🏽‍🏫,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8f\xab'
598,👩🏾‍🏫,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8f\xab'
599,👩🏿‍🏫,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f3eb',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8f\xab'
600,🧑🏻‍⚖️,b'\\U0001f9d1\\U0001f3fb\\u200d\\u2696\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
601,🧑🏼‍⚖️,b'\\U0001f9d1\\U0001f3fc\\u200d\\u2696\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
602,🧑🏽‍⚖️,b'\\U0001f9d1\\U0001f3fd\\u200d\\u2696\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
603,🧑🏾‍⚖️,b'\\U0001f9d1\\U0001f3fe\\u200d\\u2696\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
604,🧑🏿‍⚖️,b'\\U0001f9d1\\U0001f3ff\\u200d\\u2696\\ufe0f',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
605,👨🏻‍⚖️,b'\\U0001f468\\U0001f3fb\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
606,👨🏼‍⚖️,b'\\U0001f468\\U0001f3fc\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
607,👨🏽‍⚖️,b'\\U0001f468\\U0001f3fd\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
608,👨🏾‍⚖️,b'\\U0001f468\\U0001f3fe\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
609,👨🏿‍⚖️,b'\\U0001f468\\U0001f3ff\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
610,👩🏻‍⚖️,b'\\U0001f469\\U0001f3fb\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
611,👩🏼‍⚖️,b'\\U0001f469\\U0001f3fc\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
612,👩🏽‍⚖️,b'\\U0001f469\\U0001f3fd\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
613,👩🏾‍⚖️,b'\\U0001f469\\U0001f3fe\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
614,👩🏿‍⚖️,b'\\U0001f469\\U0001f3ff\\u200d\\u2696\\ufe0f',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x9a\x96\xef\xb8\x8f'
615,🧑🏻‍🌾,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f33e',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8c\xbe'
616,🧑🏼‍🌾,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f33e',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8c\xbe'
617,🧑🏽‍🌾,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f33e',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8c\xbe'
618,🧑🏾‍🌾,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f33e',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8c\xbe'
619,🧑🏿‍🌾,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f33e',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8c\xbe'
620,👨🏻‍🌾,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8c\xbe'
621,👨🏼‍🌾,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8c\xbe'
622,👨🏽‍🌾,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8c\xbe'
623,👨🏾‍🌾,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8c\xbe'
624,👨🏿‍🌾,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8c\xbe'
625,👩🏻‍🌾,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8c\xbe'
626,👩🏼‍🌾,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x8c\xbe'
627,👩🏽‍🌾,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x8c\xbe'
628,👩🏾‍🌾,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x8c\xbe'
629,👩🏿‍🌾,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f33e',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\x8c\xbe'
630,🧑🏻‍🍳,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f373',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\x8d\xb3'
