,Emoji,Unicode,Hex
50,🫸🏻,b'\\U0001faf8\\U0001f3fb',b'\xf0\x9f\xab\xb8\xf0\x9f\x8f\xbb'
51,🫸🏼,b'\\U0001faf8\\U0001f3fc',b'\xf0\x9f\xab\xb8\xf0\x9f\x8f\xbc'
52,🫸🏽,b'\\U0001faf8\\U0001f3fd',b'\xf0\x9f\xab\xb8\xf0\x9f\x8f\xbd'
53,🫸🏾,b'\\U0001faf8\\U0001f3fe',b'\xf0\x9f\xab\xb8\xf0\x9f\x8f\xbe'
54,🫸🏿,b'\\U0001faf8\\U0001f3ff',b'\xf0\x9f\xab\xb8\xf0\x9f\x8f\xbf'
55,👌🏻,b'\\U0001f44c\\U0001f3fb',b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb'
56,👌🏼,b'\\U0001f44c\\U0001f3fc',b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbc'
57,👌🏽,b'\\U0001f44c\\U0001f3fd',b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd'
58,👌🏾,b'\\U0001f44c\\U0001f3fe',b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbe'
59,👌🏿,b'\\U0001f44c\\U0001f3ff',b'\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbf'
60,🤌🏻,b'\\U0001f90c\\U0001f3fb',b'\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbb'
61,🤌🏼,b'\\U0001f90c\\U0001f3fc',b'\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbc'
62,🤌🏽,b'\\U0001f90c\\U0001f3fd',b'\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbd'
63,🤌🏾,b'\\U0001f90c\\U0001f3fe',b'\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbe'
64,🤌🏿,b'\\U0001f90c\\U0001f3ff',b'\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbf'
65,🤏🏻,b'\\U0001f90f\\U0001f3fb',b'\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbb'
66,🤏🏼,b'\\U0001f90f\\U0001f3fc',b'\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbc'
67,🤏🏽,b'\\U0001f90f\\U0001f3fd',b'\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbd'
68,🤏🏾,b'\\U0001f90f\\U0001f3fe',b'\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbe'
69,🤏🏿,b'\\U0001f90f\\U0001f3ff',b'\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbf'
70,✌🏻,b'\\u270c\\U0001f3fb',b'\xe2\x9c\x8c\xf0\x9f\x8f\xbb'
71,✌🏼,b'\\u270c\\U0001f3fc',b'\xe2\x9c\x8c\xf0\x9f\x8f\xbc'
72,✌🏽,b'\\u270c\\U0001f3fd',b'\xe2\x9c\x8c\xf0\x9f\x8f\xbd'
73,✌🏾,b'\\u270c\\U0001f3fe',b'\xe2\x9c\x8c\xf0\x9f\x8f\xbe'
74,✌🏿,b'\\u270c\\U0001f3ff',b'\xe2\x9c\x8c\xf0\x9f\x8f\xbf'
75,🤞🏻,b'\\U0001f91e\\U0001f3fb',b'\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb'
76,🤞🏼,b'\\U0001f91e\\U0001f3fc',b'\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbc'
77,🤞🏽,b'\\U0001f91e\\U0001f3fd',b'\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd'
78,🤞🏾,b'\\U0001f91e\\U0001f3fe',b'\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbe'
79,🤞🏿,b'\\U0001f91e\\U0001f3ff',b'\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbf'
80,🫰🏻,b'\\U0001faf0\\U0001f3fb',b'\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbb'
81,🫰🏼,b'\\U0001faf0\\U0001f3fc',b'\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbc'
82,🫰🏽,b'\\U0001faf0\\U0001f3fd',b'\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbd'
83,🫰🏾,b'\\U0001faf0\\U0001f3fe',b'\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbe'
84,🫰🏿,b'\\U0001faf0\\U0001f3ff',b'\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbf'
85,🤟🏻,b'\\U0001f91f\\U0001f3fb',b'\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbb'
86,🤟🏼,b'\\U0001f91f\\U0001f3fc',b'\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbc'
87,🤟🏽,b'\\U0001f91f\\U0001f3fd',b'\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbd'
88,🤟🏾,b'\\U0001f91f\\U0001f3fe',b'\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbe'
89,🤟🏿,b'\\U0001f91f\\U0001f3ff',b'\xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbf'
90,🤘🏻,b'\\U0001f918\\U0001f3fb',b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbb'
91,🤘🏼,b'\\U0001f918\\U0001f3fc',b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc'
92,🤘🏽,b'\\U0001f918\\U0001f3fd',b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd'
93,🤘🏾,b'\\U0001f918\\U0001f3fe',b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbe'
94,🤘🏿,b'\\U0001f918\\U0001f3ff',b'\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbf'
95,🤙🏻,b'\\U0001f919\\U0001f3fb',b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbb'
